sample_date,e_coli_cfu_per_100ml,value_note,lookback_days,spill_hours_within_1_mile,spill_hours_1_to_5_miles,spill_hours_5_to_10_miles,spill_hours_10_to_20_miles,spill_hours_20_to_50_miles,queried_feature_count,event_count,spill_hours_total,nearest_spill_miles
2025-10-11,110.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-11,110.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-18,220.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-10-25,180.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-01,330.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-08,370.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-22,1000.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-11-29,10.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
