date,Conham,Hanham,Bristol (centre),Kingswood,Keynsham,Bristol Frome (Frenchay),Bradley Stoke,Portishead (tidal mouth),Nailsea,Pensford (Chew),Chew Magna,Blagdon (Chew head),Yate,Thornbury,Wotton-under-Edge,Bath,Marshfield (By Brook),Colerne,Corsham,Bradford-on-Avon,Radstock (Wellow Brook),Midsomer Norton (Somer),Frome (Somerset),Westbury,Trowbridge,Melksham,Chippenham,Calne (Marden),Devizes,Malmesbury (headwaters),Tetbury (source),catchment_max_mm_per_h,catchment_max_site,catchment_max_cape_j_per_kg,catchment_max_cape_site
2025-07-16,0.5,0.2,0.5,0.0,0.2,0.2,0.0,0.5,0.6,0.7,0.7,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.5,0.5,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,Pensford (Chew),0.0,Conham
2025-07-17,0.5,0.7,0.5,0.3,0.7,0.3,0.2,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.3,0.9,0.2,0.5,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.2,0.9,Bath,0.0,Conham
2025-07-18,0.2,0.5,0.2,0.2,0.5,0.2,0.1,0.2,0.1,0.5,0.5,0.2,0.1,0.3,0.3,0.5,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.5,0.5,0.5,Hanham,0.0,Conham
2025-07-19,0.5,0.4,0.5,0.5,0.4,0.4,0.2,0.6,0.7,0.6,0.6,0.7,0.2,0.2,0.2,0.4,0.2,0.5,0.2,0.6,0.5,0.5,0.4,0.3,0.5,0.3,0.2,0.1,0.2,0.1,0.1,0.7,Nailsea,0.0,Conham
2025-07-20,0.9,1.2,0.9,3.4,1.2,2.3,1.6,1.7,0.9,1.2,1.2,2.0,2.2,2.6,1.6,2.0,2.2,2.6,1.3,2.0,3.0,3.0,2.9,3.2,2.1,1.8,1.3,1.8,1.5,1.7,1.2,3.4,Kingswood,0.0,Conham
2025-07-21,0.2,0.3,0.2,0.5,0.3,0.3,0.3,0.5,0.3,0.2,0.2,0.3,0.5,0.5,1.0,0.4,1.4,0.7,0.2,0.5,0.2,0.2,0.2,0.5,0.3,0.4,0.2,1.0,0.3,0.2,0.2,1.4,Marshfield (By Brook),0.0,Conham
2025-07-22,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.4,0.3,0.8,0.8,0.2,0.2,0.7,0.7,0.3,1.1,0.3,0.5,0.4,0.2,0.2,0.3,0.3,0.3,0.7,0.5,0.4,0.3,1.0,0.7,1.1,Marshfield (By Brook),0.0,Conham
2025-07-23,0.4,0.5,0.4,0.6,0.5,0.4,0.5,0.2,0.1,0.2,0.2,0.3,0.4,0.6,0.4,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.6,Kingswood,0.0,Conham
2025-07-24,0.4,0.2,0.4,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.4,0.3,0.4,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.1,0.2,0.3,0.3,0.4,Conham,0.0,Conham
2025-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-07-26,0.4,0.3,0.4,0.2,0.3,0.2,0.2,0.3,0.7,0.6,0.6,0.7,0.2,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.1,0.2,0.4,0.1,0.1,0.7,Nailsea,0.0,Conham
2025-07-27,0.8,0.3,0.8,0.6,0.3,0.3,0.7,0.1,0.4,0.5,0.5,1.0,0.6,0.4,0.2,0.8,0.3,0.1,0.1,0.1,0.6,0.6,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.0,1.0,Blagdon (Chew head),0.0,Conham
2025-07-28,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.0,0.4,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.3,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.8,Bristol Frome (Frenchay),0.0,Conham
2025-07-29,1.1,1.7,1.1,3.7,1.7,3.3,3.9,3.2,4.8,2.3,2.3,4.5,2.8,2.2,5.5,1.7,1.7,1.5,1.4,1.5,2.2,2.2,1.2,0.8,0.7,0.7,1.4,1.7,3.0,1.3,3.9,5.5,Wotton-under-Edge,0.0,Conham
2025-07-30,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,Bradley Stoke,0.0,Conham
2025-07-31,5.2,5.5,5.2,3.1,5.5,3.9,9.1,5.5,2.0,6.5,6.5,5.4,14.9,12.3,7.2,5.4,6.5,4.8,5.6,5.3,3.7,3.7,7.7,5.6,6.3,7.5,5.6,6.8,6.7,6.9,7.5,14.9,Yate,0.0,Conham
2025-08-01,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,Wotton-under-Edge,0.0,Conham
2025-08-02,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Conham,0.0,Conham
2025-08-03,0.2,0.2,0.2,0.3,0.2,0.4,0.3,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.5,0.5,0.4,0.2,0.3,0.1,0.2,0.2,0.2,0.2,0.3,0.5,Blagdon (Chew head),0.0,Conham
2025-08-04,1.9,1.8,1.9,1.5,1.8,1.9,1.8,2.2,2.4,2.4,2.4,2.0,1.3,2.4,0.8,2.0,1.3,1.7,1.7,1.6,2.2,2.2,2.1,1.4,1.7,1.5,1.7,1.7,1.4,1.6,0.8,2.4,Nailsea,0.0,Conham
2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
2025-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Conham,0.0,Conham
