sample_date,e_coli_cfu_per_100ml,lookback_days,site_id,site_name,receiving_watercourse,outfall_lat,outfall_lon,distance_miles,spill_hours,event_count
2025-07-21,95.0,1,WXW00666,BATH LYNCOMBE VALE O/S NO 1,RIVER AVON VIA SWS,51.3721505,-2.350291007,9.406,0.133,4
2025-07-21,95.0,1,WXW00185,KEYNSHAM ST LADOC / BRISTOL ROAD,CHARLTON BOTTOM VIA SWS,51.41808508,-2.504501927,2.264,0.017,1
2025-07-21,95.0,1,WXW00589,KEYNSHAM HIGH LEVEL PS AVON MILL LANE,RIVER CHEW,51.41509871,-2.494201826,2.7,0.167,1
2025-07-21,95.0,1,WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),51.449659,-2.52216188,0.638,0.15,2
2025-07-21,95.0,1,WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),51.34791074,-2.251289209,13.938,0.333,1
2025-07-21,95.0,1,WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,51.37309972,-2.374807761,8.493,0.2,2
2025-07-21,95.0,1,WXW00648,BATH LOWER BRISTOL ROAD WEST OF OAK STREET ,RIVER AVON,51.37829992,-2.365352793,8.63,0.367,1
2025-07-21,95.0,1,WXW01258,BATH WIDCOMBE RISE OFF PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37479874,-2.351747936,9.256,0.267,1
2025-07-21,95.0,1,WXW01013,BATH SOUTH PARADE IN GARDEN,RIVER AVON,51.38000368,-2.355178868,8.945,0.267,1
2025-07-21,95.0,1,WXW00609,BATH LADYMEAD HOUSE (R/O) WALCOT,RIVER AVON,51.38695382,-2.358322433,8.593,0.6,1
